Santa Monica College - Grade Distribution Fall 2015,,,,,,,,,,,,,,,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
,,PHILOS 24,,3151,KAUFMAN S M,22,1,3,5,,,,1,3,,35,
,,PHILOS 51,,4402,KURVINK S J,7,4,,,,2,,,5,,18,
,,,,3152,OIFER E R,5,4,,,,,,,1,,10,
,,,,3153,OIFER E R,6,7,2,1,,,,,4,,20,
,,,,,,,,,,,,,,Page 102 of 119,,,
Department,Subject,Course,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Philosophy and,PHILOS,PHILOS 52,3154,OIFER E R,9,5,2,1,,,,,,2,,19
Social Sciences,,,,,,,,,,,,,,,,
,,,4403,KURVINK S J,3,6,2,,1,,,,,6,,18
,,PHILOS 88B,3156,SCHULTZ C K,,,,,,,,,,1,,1
,POL SC,POL SC,1,3232,BUCKLEY A D,7,13,7,1,5,,,,5,,38
,,,3517,GORGIE F J,16,4,1,2,2,,,,,10,,35
,,,3493,GORGIE F J,12,3,,3,3,,,,,12,,33
,,,3225,SCHULTZ C K,17,7,1,,,,,,,3,,28
,,,3492,GORGIE F J,25,6,2,,1,,,,,6,,40
,,,4430,ANTOINE E R,9,10,6,1,5,,3,,,7,,41
,,,3234,TAHVILDARANJESS R A,35,20,8,4,4,,,,,5,,76
,,,3233,BUCKLEY A D,9,14,6,1,7,,,,,5,,42
,,,3231,KURVINK S J,10,17,10,3,,,,,,5,,45
,,,3230,WOODS V,11,12,2,1,6,,,,1,12,,45
,,,3229,WOODS V,10,12,5,2,2,,,,,15,,46
,,,3228,BUCKLEY A D,10,15,6,1,,,,,,9,,41
,,,3226,TAHVILDARANJESS R A,104,39,15,2,3,,,,,7,,170
,,,3224,SCHULTZ C K,21,4,1,,2,,,,,2,,30
,,,3223,TAHVILDARANJESS R A,104,32,14,2,11,,,,,7,,170
,,,3227,WOODS V,8,14,6,,3,,,,,17,,48
,,POL SC,2,3240,BUCKLEY A D,5,6,3,1,2,,,,5,,22
,,,3237,GABLER C L,18,15,3,1,1,,2,,,7,,47
,,,3241,BERMAN DIANNE R,6,3,4,2,6,,,,,13,,34
,,,,,,,,,,,,,,Page 103 of 119,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Philosophy and,POL SC,POL SC,2,3235,BERMAN DIANNE R,19,11,16,3,12,,,,17,,78,
Social Sciences,,,,,,,,,,,,,,,,,
,,,,3239,BUCKLEY A D,2,9,2,,4,,,,4,,21,
,,,,3236,GABLER C L,11,7,7,1,3,,,,10,,39,
,,,,3238,CHALALA E D,6,13,11,2,9,,,,7,,48,
,,POL SC,5,3243,BERMAN DIANNE R,5,6,,,3,,,,6,,20,
,,,,3244,RABACH E R,4,3,2,1,1,,,,8,,19,
,,,,3466,RABACH E R,6,2,8,,2,,,,5,,23,
,,POL SC,7,3245,BERMAN DIANNE R,17,17,19,3,8,,,,14,,78,
,,,,3249,BUCKLEY A D,15,13,,,1,,,,1,,30,
,,,,3248,BUCKLEY A D,17,5,3,3,2,,,,,,30,
,,,,3246,BERMAN DIANNE R,19,6,1,,2,,,,3,,31,
,,,,3247,CHALALA E D,13,10,3,,2,,,,13,,41,
,,POL SC 21,,3251,GREENE S A,12,6,13,,5,,,,8,,44,
,,,,3252,TAHVILDARANJESS R A,110,14,6,2,8,,,,5,,145,
,,POL SC 22,,3253,OIFER E R,6,5,2,,2,,,,5,,20,
,,POL SC 31,,3258,GABLER C L,15,4,1,,3,,,,8,,31,
,,,,3257,GABLER C L,12,7,4,1,2,,,,10,,36,
,,,,3256,GABLER C L,18,10,1,3,5,,,1,4,,42,
,,,,3255,GABLER C L,19,8,2,,2,,,,8,,39,
,,POL SC 51,,3260,OIFER E R,9,5,3,3,,,,,4,,24,
,,,,4431,KURVINK S J,15,10,2,1,1,,,,2,,31,
,,,,3259,OIFER E R,9,3,,1,,,,,1,,14,
,,POL SC 52,,3261,OIFER E R,1,8,2,,1,,,,7,,19,
,,,,,,,,,,,,,,Page 104 of 119,,,
Department,Subject,Course,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Philosophy and,POL SC,POL SC 52,4432,KURVINK S J,9,7,3,,1,,,,,2,,22
Social Sciences,,,,,,,,,,,,,,,,
,,POL SC 88A,3262,SCHULTZ C K,,,,,,,,,,1,,1
,,POL SC 88B,3263,SCHULTZ C K,,,,,,,,,,1,,1
,,POL SC 95,3264,TAHVILDARANJESS R A,,,,,,,2,,18,4,,24
,SOCIOL,SOCIOL,1,3361,MASSEY R A,2,4,3,2,3,,,,11,,25
,,,3362,GHEYTANCHI E,25,7,3,1,,,,,,,,36
,,,3363,GHEYTANCHI E,22,7,1,,2,,,,,2,,34
,,,3364,LIVINGS G S,1,5,4,4,13,,,,,13,,40
,,,3522,ZIFF E B,19,24,3,1,4,,1,,,3,,55
,,,3563,ANDRADA A V,7,13,9,6,6,,,,,36,,77
,,,4491,ANDRADA A V,11,12,2,1,3,,,,,4,,33
,,,3352,ROMO R,20,21,7,2,2,,,,,,,52
,,,3360,DISHMAN W H,9,6,8,2,1,,,,,8,,34
,,,4464,SCAIFE M L,5,10,8,1,5,,,,,13,,42
,,,3358,DISHMAN W H,10,8,5,4,1,,,,,11,,39
,,,3357,DISHMAN W H,2,13,6,2,1,,,,,12,,36
,,,3356,LIVINGS G S,,4,10,5,5,,,,,16,,40
,,,3355,ROMO R,21,21,4,1,1,,,,,4,,52
,,,3353,COOPER P,8,9,4,,3,,,,,17,,41
,,,3354,MASSEY R A,12,11,,,,,,,,3,,26
,,,3351,ROMO R,9,16,4,1,3,,,,,,,33
,,,3350,D DEL PICCOLO G L,3,13,14,9,3,,,,,5,,47
,,,3349,KLEIN M C,29,10,3,,,,,,,1,,43
,,,,,,,,,,,,,,Page 105 of 119,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Philosophy and,SOCIOL,SOCIOL,1,3359,MASSEY R A,1,7,7,6,4,,,,4,,29,
Social Sciences,,,,,,,,,,,,,,,,,
,,SOCIOL,2,3365,SCAIFE M L,14,12,4,2,1,,,,7,,40,
,,,,3366,SCAIFE M L,8,11,7,3,2,,,,6,,37,
,,SOCIOL,2S,3367,D DEL PICCOLO G L,7,4,4,2,3,,,,7,,27,
,,SOCIOL,4,3368,LIVINGS G S,12,8,4,3,4,,,1,6,,38,
,,,,3369,GHEYTANCHI E,24,10,5,,,,,,4,,43,
,,SOCIOL 12,,3478,ZIFF E B,15,7,3,2,8,,,,2,,37,
,,SOCIOL 30,,3370,MASSEY R A,8,16,3,,3,3,,,14,,47,
,,SOCIOL 31,,3371,ROMO R,22,10,3,1,2,,,,3,,41,
,,SOCIOL 32,,3372,WILLIAMS LEON T K,23,6,5,,,1,,,6,,41,
,,SOCIOL 33,,3373,MASSEY R A,9,8,7,2,2,3,,,7,,38,
,,SOCIOL 34,,3374,ROMO R,11,20,8,1,5,,,,2,,47,
,,,,3375,LIVINGS G S,8,11,10,,7,,,,7,,43,
,WOM ST,WOM ST 10,,3448,KLEIN M C,24,3,,1,,,,,1,,29,
,,,,3449,MANOFF R J,28,14,4,,2,,,,1,,49,
,,,,3484,CUEVA B M,21,5,,,,,,,2,,28,
,,WOM ST 20,,3450,CUEVA B M,27,10,,,,,,,1,,38,
,,WOM ST 30,,3451,KLEIN M C,28,5,,1,2,,,,5,,41,
,,WOM ST 80,,3452,CUEVA B M,14,3,,1,1,,,,2,,21,
Photography,AHIS,AHIS,52,1080,FIER B,1,3,1,1,,,,,2,,8,
and Fashion,,,,,,,,,,,,,,,,,
,,,,1081,FIER B,2,11,9,4,2,,,,6,,34,
,FASHN,FASHN,1,2363,IVAS L,12,11,3,,2,,,1,2,,31,
,,,,2364,IVAS L,18,5,6,1,,1,,,4,,35,
,,,,,,,,,,,,,,Page 106 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Photography,FASHN,FASHN,1,3564,BOYADZHYAN M,1,5,4,7,,,,1,5,,23,
and Fashion,,,,,,,,,,,,,,,,,
,,,,4220,KOLKO S R,10,11,3,1,,,,,5,,30,
,,,,4221,ARDELL J B,14,6,2,2,8,,,,4,,36,
,,FASHN,2,2365,REINER H G,10,4,5,2,7,,,,2,,30,
,,,,2366,LAKE R G,16,5,4,4,3,,,,5,,37,
,,FASHN,3,2368,LEWIS K,3,5,6,1,2,,,,3,,20,
,,,,2369,RAIN B L,4,7,1,3,,,,,6,,21,
,,,,2367,ALLEN A,15,11,1,,,,,,3,,30,
,,FASHN,5,2370,IVAS L,18,6,8,1,2,,,,6,,41,
,,FASHN,6A,2371,RAIN B L,2,8,8,2,2,,,,3,,25,
,,,,4222,LOUIS L N,8,4,1,2,1,,,,7,,23,
,,FASHN,6B,2372,MANUKYAN G,1,2,1,1,,,,,9,,14,
,,FASHN,7,2373,LAKE R G,12,7,5,,,,,,1,,25,
,,FASHN,8,4223,ARMSTRONG J I,11,8,3,5,,,,,5,,32,
,,FASHN,9A,2374,ARMSTRONG J I,8,16,1,4,,,,,2,,31,
,,FASHN,9B,4224,REINER H G,5,8,2,2,,,,,2,,19,
,,FASHN,10,2375,BOYADZHYAN M,13,5,4,,,,,,3,,25,
,,FASHN,13,2376,LOUIS L N,8,6,,1,,,,,1,,16,
,,FASHN,14,2377,KHACHMANYAN S,4,2,1,2,,,,,2,,11,
,,FASHN,15,2378,IVAS L,22,2,3,,,,,,7,,34,
,,FASHN,16,4225,BLACKSHEAR R S,6,,,1,,,,,5,,12,
,,FASHN,17,2379,ARDELL J B,8,2,3,2,1,,,,,,16,
,,FASHN,18,4226,ARMSTRONG R W,13,1,3,,,,,,4,,21,
,,FASHN,19,4227,KOLKO S R,4,9,5,1,,,,,2,,21,
,,,,,,,,,,,,,,Page 107 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Photography,FASHN,FASHN,20,2380,IVAS L,19,3,1,2,,,,,,,25,
and Fashion,,,,,,,,,,,,,,,,,
,PHOTO,PHOTO,1,3167,MOHR C D,4,2,6,14,,,,,1,,27,
,,,,4408,KRETSCHMER H,8,2,5,5,,,,,17,,37,
,,,,4409,SHORT W R,6,7,1,3,,3,,,9,,29,
,,,,4407,SLOWINSKI R,4,10,5,3,2,1,,,5,,30,
,,,,4406,THAWLEY J,7,16,2,2,,,,,6,,33,
,,,,4405,MOSS B C,4,6,6,2,6,,,,7,,31,
,,,,4404,LEDFORD T M,8,6,8,2,4,,,,5,,33,
,,,,3168,MANGUS E P,25,10,1,3,,,,,7,,46,
,,,,3157,MYERS A D,9,10,3,2,3,,,,5,,32,
,,,,3165,THAWLEY J,4,10,4,1,3,,,,6,,28,
,,,,3164,WITHERS J J,6,7,9,4,4,,,,7,,37,
,,,,3163,GREGORY C M,7,4,5,3,4,,,,7,,30,
,,,,3162,GREGORY C M,8,9,6,6,,,,,4,,33,
,,,,3161,MYERS A D,16,12,2,2,3,,,,9,,44,
,,,,3160,MCDONALD S D,7,6,3,1,2,,,1,9,,29,
,,,,3158,MANGUS E P,19,17,2,1,2,,,,1,,42,
,,,,3159,SHATTO M M,2,5,1,4,11,,,,4,,27,
,,,,3166,SHATTO M M,5,8,3,2,6,,,,11,,35,
,,PHOTO,2,4410,VALESELLA M D,1,7,5,8,,,,,5,,26,
,,,,4411,MOULTON S A,13,6,4,3,,,,1,5,,32,
,,,,3170,VALESELLA M D,4,6,2,2,2,,,,7,,23,
,,,,3169,SANSERI J D,3,8,6,1,,,,,3,,21,
,,PHOTO,5,3172,TSHING M,4,4,,3,,,,,9,,20,
,,,,,,,,,,,,,,Page 108 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Photography,PHOTO,PHOTO,5,3173,HESKETH J C,4,3,4,5,,,,2,4,,22,
and Fashion,,,,,,,,,,,,,,,,,
,,,,3174,PATUGAN R Y,3,8,5,2,4,,,,6,,28,
,,,,4412,MCDONALD S D,5,5,4,2,5,,,,5,,26,
,,,,3171,CALZATTI N,6,3,5,3,,,,,6,,23,
,,PHOTO,7,3175,LOWCOCK F E,,,,,,,,,1,,1,
,,PHOTO,21,4413,RICHARDSON J W,13,5,1,,,,,,5,,24,
,,PHOTO,29,4414,LOWE JR L D,10,3,,6,,,,,3,,22,
,,PHOTO,30,4415,ANDERSON DA,11,,4,2,3,,,1,4,,25,
,,,,3178,MOHR C D,7,14,4,1,,,,1,5,,32,
,,PHOTO,31,3179,WITHERS J J,3,9,4,3,2,,,,3,,24,
,,PHOTO,32,3180,SANSERI J D,11,,4,1,1,,,,3,,20,
,,PHOTO,33,4416,SANSERI J D,2,15,1,1,3,,,,3,,25,
,,PHOTO,37,4417,MOULTON S A,5,10,3,2,,,,,7,,27,
,,PHOTO,39,3181,LOWCOCK F E,2,6,5,4,,,,,6,,23,
,,,,4418,WITHERS J J,6,12,4,1,,,,1,4,,28,
,,PHOTO,40,3182,LOWCOCK F E,3,2,1,2,2,,,,5,,15,
,,PHOTO,42,4419,WITHERS J J,5,7,2,1,2,,,,7,,24,
,,PHOTO,43,4420,MOHR C D,9,7,2,,,,,,3,,21,
,,PHOTO,52,3183,FIER B,5,13,5,4,9,,,,6,,42,
,,,,3184,FIER B,2,6,11,5,7,,,,10,,41,
,,PHOTO,60,3185,MOHR C D,3,7,6,2,8,,,,8,,34,
,,PHOTO,88A,3186,LOWCOCK F E,2,,1,,,,,,,,3,
,,PHOTO,88B,3187,LOWCOCK F E,1,,,,,,,,,,1,
,,PHOTO,90A,3189,MOHR C D,2,,,,,,,,,,2,
,,,,,,,,,,,,,,Page 109 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Physical,CHEM,CHEM,9,1330,WALKER WAUGH M V,15,3,1,1,,,,6,1,,27,
Science,,,,,,,,,,,,,,,,,
,,,,1329,WONG W W,11,3,6,2,3,,,1,3,,29,
,,,,4073,PHAM H V,7,4,3,2,,,1,,5,,22,
,,,,4072,PHAM H V,9,5,5,1,2,,,,1,,23,
,,,,1328,WONG W W,3,5,5,3,2,,,3,7,,28,
,,,,1327,STRATHEARN M D,3,7,5,,,,,1,8,,24,
,,,,1326,STRATHEARN M D,9,5,2,3,,,,1,4,,24,
,,,,3588,WALKER WAUGH M V,1,,,2,,,,1,,,4,
,,CHEM,10,4076,ABBANI M A,3,3,6,3,6,,,,4,,25,
,,,,1349,KO H,4,7,5,4,2,,,,7,,29,
,,,,1350,LIU C,11,7,5,1,,,,,4,,28,
,,,,1351,VON HUNGEN P K,2,7,6,5,2,,,,7,,29,
,,,,1352,VON HUNGEN P K,8,7,4,2,2,,,,4,,27,
,,,,1353,LIU C,8,11,6,,,,,,2,,27,
,,,,3526,BARTLETT D D,4,6,6,1,1,1,,,9,,28,
,,,,3572,PECORELLI T A,3,6,4,1,,,1,,7,,22,
,,,,4075,SAYANI S,12,6,2,1,3,,,,4,,28,
,,,,1343,BAUTISTA M R,4,8,6,2,,,,,9,,29,
,,,,4077,ABBANI M A,4,2,4,4,3,,,,5,,22,
,,,,4078,RAUDA I E,9,5,5,2,1,,,1,5,,28,
,,,,4079,RAUDA I E,13,7,3,2,,,,,3,,28,
,,,,1348,KO H,2,1,4,8,6,,,,9,,30,
,,,,4074,SAYANI S,13,7,1,,,,,,8,,29,
,,,,1337,PECORELLI T A,1,2,5,2,1,,,,17,,28,
,,,,,,,,,,,,,,Page 110 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Physical,CHEM,CHEM,10,1345,WALKER WAUGH M V,4,7,7,5,4,,1,,4,,32,
Science,,,,,,,,,,,,,,,,,
,,,,1346,PECORELLI T A,4,6,5,1,3,,,,10,,29,
,,,,1333,DONG T A,1,5,9,3,7,,,,3,,28,
,,,,1334,BAUTISTA M R,1,4,5,2,3,,,,13,,28,
,,,,1336,PECORELLI T A,3,1,2,1,3,,,,17,,27,
,,,,1338,TAYLOR S M,2,4,3,2,6,,,,11,,28,
,,,,1339,TAYLOR S M,9,3,4,1,1,,,,9,,27,
,,,,1340,DONG T A,5,4,5,3,4,,,,7,,28,
,,,,1341,DONG T A,4,7,5,1,6,,,,4,,27,
,,,,1342,BAUTISTA M R,2,13,2,1,,,,,11,,29,
,,,,1344,WALKER WAUGH M V,1,6,9,3,7,,1,,7,,34,
,,,,1332,DONG T A,2,9,2,,4,,,,11,,28,
,,,,1335,BAUTISTA M R,4,8,2,1,,,,,13,,28,
,,CHEM,11,1355,SCHMIDT E,8,5,1,,4,,,,11,,29,
,,,,1362,PAPAZYAN A,4,11,9,3,,,,,1,,28,
,,,,4081,TOUMARI A,8,6,11,1,1,,,,6,,33,
,,,,4080,TOUMARI A,7,8,7,1,2,,,,2,,27,
,,,,1365,SCHOLEFIELD M R,9,4,3,1,3,,,,9,,29,
,,,,1364,SCHOLEFIELD M R,2,7,5,2,1,,,,12,,29,
,,,,1363,SCHOLEFIELD M R,4,11,5,,2,,,,7,,29,
,,,,1361,PAPAZYAN A,6,8,5,1,2,,,,7,,29,
,,,,1360,GALLOGLY E B,4,3,10,4,1,,,,7,,29,
,,,,1359,GALLOGLY E B,6,7,4,6,1,,,,5,,29,
,,,,1358,GALLOGLY E B,4,7,5,5,1,,,,7,,29,
,,,,,,,,,,,,,,Page 111 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Physical,CHEM,CHEM,11,1356,MURPHY J E,7,8,7,3,3,,,,2,,30,
Science,,,,,,,,,,,,,,,,,
,,,,1354,SCHMIDT E,3,3,4,2,1,,,,12,,25,
,,,,1357,MURPHY J E,4,8,4,3,7,1,,,3,,30,
,,CHEM,12,1369,TOIVONEN J E,13,7,3,2,3,1,,,2,,31,
,,,,1372,HSIEH J M,3,4,4,,2,,,,5,,18,
,,,,4082,MARTINEZ H L,4,6,4,3,1,,,,6,,24,
,,,,1373,HSIEH J M,4,5,3,1,1,,,,8,,22,
,,,,1366,NAULI S,4,2,5,,2,,,,13,,26,
,,,,1371,HSIEH J M,6,1,3,2,2,,,,3,,17,
,,,,1368,NAULI S,2,3,3,,,,,,19,,27,
,,,,1367,NAULI S,5,5,2,2,1,1,,,5,,21,
,,,,1370,TOIVONEN J E,6,16,6,,,,,,2,,30,
,,CHEM,21,4083,KLINE M L,9,8,3,2,2,,,,3,,27,
,,,,4084,KLINE M L,7,8,7,3,1,,,,2,,28,
,,,,1375,HARWIG J F,2,5,7,3,,,,,3,,20,
,,,,1374,HARWIG J F,5,1,6,1,3,,,,2,,18,
,,CHEM,22,1376,ANDERSON JAMEY L,15,18,15,,,1,,,6,,55,
,,CHEM,24,1377,FEREDE R,16,9,,,,,,,1,,26,
,,,,1378,FEREDE R,9,7,1,,,,,,4,,21,
,,CHEM,31,1379,SCHWYTER D H,10,,3,,1,,,,9,,23,
,ENGR,ENGR,12,2221,DANG T T,7,3,4,2,3,,,,4,,23,
,PHY SC,PHY SC 88A,,3193,ANDERSON JAMEY L,1,,,,,,,,,,1,
,,PHY SC 88B,,3194,ANDERSON JAMEY L,17,1,,,,,,,,,18,
,PHYSCS,PHYSCS,6,3203,PAIK S T,3,12,3,,1,,,,5,,24,
,,,,,,,,,,,,,,Page 112 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Physical,PHYSCS,PHYSCS,6,4423,SAID A W,7,6,6,3,,,,,7,,29,
Science,,,,,,,,,,,,,,,,,
,,,,3204,PAIK S T,2,5,4,2,,,,,3,,16,
,,PHYSCS,7,3205,PAIK S T,5,11,6,,,,,,1,,23,
,,PHYSCS,8,3206,KAMAGA C N,8,2,5,3,3,,,,6,,27,
,,,,4424,LEV N R,6,3,5,1,2,,,,5,,22,
,,PHYSCS,9,3207,MENACHEKANIAN E,3,2,3,1,1,,,,5,,15,
,,PHYSCS 12,,3209,MASADA R S,5,8,5,1,3,,,,4,,26,
,,,,4425,MURPHY T J,5,2,,4,,,,,4,,15,
,,,,3208,MORSE P A,13,8,5,2,,,,,2,,30,
,,PHYSCS 14,,3211,THOMPSON A,9,9,3,1,2,,,,6,,30,
,,,,3212,HENDERSON J M,7,1,2,,,,2,5,11,,28,
,,,,3213,KOCHARIAN A,4,15,1,3,,,,3,4,,30,
,,,,3214,SAID A W,9,5,5,1,6,,,,3,,29,
,,,,4426,DO M H,6,8,8,3,,,,2,2,,29,
,,,,3210,HENDERSON J M,5,3,4,3,,,2,1,5,,23,
,,PHYSCS 21,,3217,MORRIS J J,2,4,8,1,3,,,,10,,28,
,,,,3218,MORRIS J J,8,5,1,4,1,,,,11,,30,
,,,,3215,MENACHEKANIAN E,7,5,5,1,1,,,,8,,27,
,,,,4427,FARIVAR D,5,5,7,1,8,,,,4,,30,
,,,,3216,DANG T T,8,7,3,1,1,,,,7,,27,
,,PHYSCS 22,,3219,HALL A J,6,3,6,1,2,,,,13,,31,
,,,,3220,CHEUNG KW H,5,6,5,3,2,,,,2,,23,
,,,,4428,HALL A J,12,5,5,3,4,,,,3,,32,
,,PHYSCS 23,,3221,MORRIS J J,1,5,2,3,,,,,8,,19,
,,,,,,,,,,,,,,Page 113 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Physical,PHYSCS,PHYSCS 23,,3222,THOMPSON A,9,7,5,2,2,,,,2,,27,
Science,,,,,,,,,,,,,,,,,
,,,,4429,MAJLESSI A,11,6,7,1,,,,,5,,30,
Psychology,ENVRN,ENVRN,40,4200,SCHWARTZ A F,10,4,1,,,,,,5,,20,
,PSYCH,PSYCH,1,3299,SAGE R,2,6,5,6,10,,,,10,,39,
,,,,3297,GRAHAM M D,2,3,8,4,,,,,6,,23,
,,,,3307,HALD L A,20,10,3,2,3,3,,,4,,45,
,,,,3306,CHAMBERS C,8,9,8,6,12,,,,4,,47,
,,,,3305,DAVIS-KING D T,7,11,14,1,6,,,2,5,,46,
,,,,3304,SAGE R,4,6,2,2,4,,,,12,,30,
,,,,3303,WHITE K R,20,12,4,2,6,,,1,5,,50,
,,,,3302,HALD L A,10,24,7,,,,,,6,,47,
,,,,3308,O'LEARY B A,8,9,5,1,6,,,,9,,38,
,,,,3300,CHAMBERS C,6,7,10,5,8,,,,5,,41,
,,,,3615,DE LOACH C D,6,6,4,2,9,1,,,11,,39,
,,,,3298,DAVIS-KING D T,11,10,7,3,8,,,,7,,46,
,,,,3301,GHANE A,26,8,4,5,,,,,2,,45,
,,,,3309,FARWELL L A,5,7,5,1,2,,,,13,,33,
,,,,3310,FARWELL L A,6,7,2,8,,,,,14,,37,
,,,,3311,FARWELL L A,12,5,6,2,,,,,8,,33,
,,,,3465,FARWELL L A,5,8,8,3,,,,,12,,36,
,,,,4434,SMITH-CLARK C T,18,6,7,2,2,,1,1,8,,45,
,,,,4435,HALD L A,16,12,6,3,,,,,3,,40,
,,,,4436,SCHWARTZ A F,11,13,9,1,,1,,,9,,44,
,,,,4437,FARWELL L A,6,6,13,1,10,,,,7,,43,
,,,,,,,,,,,,,,Page 114 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Psychology,PSYCH,PSYCH,1,4438,SMITH-CLARK C T,22,10,2,1,2,,,,8,,45,
,,,,4439,SMITH-CLARK C T,13,10,1,1,4,,,,11,,40,
,,,,4440,TINGEN I W,10,9,9,6,7,,,,2,,43,
,,,,3283,GHANE A,27,10,3,1,4,,,,3,,48,
,,,,3464,TINGEN I W,2,10,14,4,10,,,,2,,42,
,,,,3281,GRAHAM M D,10,2,5,12,,2,,,14,,45,
,,,,3296,LOEB T B,23,7,4,3,4,,,,6,,47,
,,,,3272,LAURENT M G,7,4,9,6,10,,,1,7,,44,
,,,,3273,GRAHAM M D,12,5,8,3,6,1,,,8,,43,
,,,,3274,LAURENT M G,3,4,9,10,9,,,,4,,39,
,,,,3275,SHIRINYAN D,10,9,2,2,,,,,3,,26,
,,,,3276,DAVIS-KING D T,6,12,9,8,6,,,,8,,49,
,,,,3277,DAVIS T D,17,11,2,2,8,,,,2,,42,
,,,,3278,PEMBERTON J V,24,7,5,,1,,,,2,,39,
,,,,3280,CHIN D,9,12,6,8,9,,,,4,,48,
,,,,3271,DAVIS T D,17,9,8,3,7,,,,9,,53,
,,,,3282,WHITE K R,17,6,2,1,,,,,,,26,
,,,,3291,CHAMBERS C,4,11,8,11,12,,,,3,,49,
,,,,3295,O'LEARY B A,3,8,8,5,8,,,,12,,44,
,,,,3294,GHANE A,19,13,7,3,3,,,,2,,47,
,,,,3279,LOEB T B,13,14,7,2,11,,,,3,,50,
,,,,3292,PEMBERTON J V,16,5,,,2,,,,3,,26,
,,,,3285,SHIRINYAN D,6,7,6,3,16,,,,10,,48,
,,,,3290,LOEB T B,21,6,12,2,3,,,,5,,49,
,,,,3289,CHIN D,13,12,7,3,9,,,,3,,47,
,,,,,,,,,,,,,,Page 115 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Psychology,PSYCH,PSYCH,1,3288,WHITE K R,5,8,3,3,,,,,7,,26,
,,,,3287,LOEB T B,10,14,4,4,4,,,,6,,42,
,,,,3286,SAGE R,1,2,7,4,5,,1,,16,,36,
,,,,3284,DAVIS-KING D T,7,10,12,6,3,,,,6,,44,
,,,,3293,DAVIS-KING D T,5,8,12,2,4,,,,15,,46,
,,PSYCH,2,3317,SAGE R,3,1,3,6,10,2,,,14,,39,
,,,,4445,OLSON GENE C,4,3,5,2,7,,,,9,,30,
,,,,4444,OLSON GENE C,6,4,9,4,3,,,1,10,,37,
,,,,4443,OLSON GENE C,2,6,17,5,2,1,,,7,,40,
,,,,4442,SAGE R,,2,4,3,4,,,,10,,23,
,,,,3315,SHIRINYAN D,9,9,2,4,1,,,,5,,30,
,,,,3314,RUSSELL R L,2,16,7,5,9,,,,1,,40,
,,,,3313,SHIRINYAN D,7,9,1,7,11,,1,,8,,44,
,,,,3312,SHIRINYAN D,6,7,10,6,13,,,,7,,49,
,,,,3316,RUSSELL R L,5,9,11,7,10,,,,6,,48,
,,PSYCH,3,3318,CHIN D,21,6,5,1,,,,,,,33,
,,,,3319,CHIN D,15,11,4,1,5,,,,3,,39,
,,PSYCH,5,4446,GUNN K S,15,7,4,2,,,,,6,,34,
,,,,3320,GUILD L A,4,7,3,1,2,,,,6,,23,
,,,,3321,GUILD L A,14,4,7,2,8,,,,7,,42,
,,PSYCH,6,3322,GUILD L A,16,14,4,5,,1,,,3,,43,
,,PSYCH,7,3324,HALD L A,14,2,1,2,,,,1,8,,28,
,,,,3323,HALD L A,13,9,2,1,,1,,,1,,27,
,,PSYCH,11,3333,SCHWARTZ A F,14,7,1,1,,,,,1,,24,
,,,,4448,MILLER CA L,16,5,4,3,,,,,2,,30,
,,,,,,,,,,,,,,Page 116 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Psychology,PSYCH,PSYCH,11,4447,HUFF G F,25,4,1,3,,,,,9,,42,
,,,,3527,GRACE Y H,8,5,2,5,,,,,15,,35,
,,,,3337,GRACE Y H,16,2,3,2,6,,,,10,,39,
,,,,3336,GRACE Y H,13,6,4,1,6,,,1,5,,36,
,,,,3335,SCHWARTZ A F,12,10,8,4,2,,,,4,,40,
,,,,3331,GRACE Y H,26,7,1,3,,,,,5,,42,
,,,,3330,HUFF G F,16,6,3,3,1,1,,,2,,32,
,,,,3329,HUFF G F,20,4,1,5,,,,,4,,34,
